200      GET       14l       74w     3404c http://10.10.213.223/icons/ubuntu-logo.png
200      GET      388l     1010w    13312c http://10.10.213.223/
403      GET       10l       30w      285c http://10.10.213.223/.html
403      GET       10l       30w      284c http://10.10.213.223/.hta
403      GET       10l       30w      289c http://10.10.213.223/.htaccess
403      GET       10l       30w      289c http://10.10.213.223/.htpasswd
403      GET       10l       30w      288c http://10.10.213.223/.hta.txt
403      GET       10l       30w      293c http://10.10.213.223/.htaccess.txt
403      GET       10l       30w      293c http://10.10.213.223/.htpasswd.txt
403      GET       10l       30w      289c http://10.10.213.223/.hta.html
403      GET       10l       30w      294c http://10.10.213.223/.htaccess.html
403      GET       10l       30w      294c http://10.10.213.223/.htpasswd.html
403      GET       10l       30w      288c http://10.10.213.223/.hta.php
403      GET       10l       30w      293c http://10.10.213.223/.htaccess.php
403      GET       10l       30w      293c http://10.10.213.223/.htpasswd.php
403      GET       10l       30w      288c http://10.10.213.223/.hta.asp
403      GET       10l       30w      293c http://10.10.213.223/.htaccess.asp
403      GET       10l       30w      293c http://10.10.213.223/.htpasswd.asp
403      GET       10l       30w      289c http://10.10.213.223/.hta.aspx
403      GET       10l       30w      294c http://10.10.213.223/.htaccess.aspx
403      GET       10l       30w      294c http://10.10.213.223/.htpasswd.aspx
403      GET       10l       30w      288c http://10.10.213.223/.hta.jsp
403      GET       10l       30w      293c http://10.10.213.223/.htaccess.jsp
403      GET       10l       30w      293c http://10.10.213.223/.htpasswd.jsp
200      GET      388l     1010w    13312c http://10.10.213.223/index.html
403      GET       10l       30w      293c http://10.10.213.223/server-status
