200      GET     6394l    37000w  1486115c http://192.168.173.50/1.gif
200      GET        0l        0w  1048894c http://192.168.173.50/2.gif
200      GET        5l        9w       81c http://192.168.173.50/
200      GET      157l      508w     7790c http://192.168.173.50/wordpress/
200      GET       39l      233w     1672c http://192.168.173.50/LICENSE
200      GET      385l     3179w    19930c http://192.168.173.50/wordpress/license.txt
200      GET       18l       91w     1451c http://192.168.173.50/robots.txt
500      GET        1l        7w       67c http://192.168.173.50/upload/
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-content/
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-config.php
200      GET       64l      184w     2530c http://192.168.173.50/wordpress/wp-login.php
200      GET        5l       15w      135c http://192.168.173.50/wordpress/wp-trackback.php
MSG      0.000 feroxbuster::heuristics detected directory listing: http://192.168.173.50/wordpress/wp-includes/ (Apache)
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/kses.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/formatting.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/category.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-image-editor.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/ms-blogs.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/functions.wp-scripts.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/link-template.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/canonical.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-simplepie.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-image-editor-gd.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/bookmark-template.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/category-template.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/ms-settings.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/functions.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/revision.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-xmlrpc-server.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-embed.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/general-template.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/date.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/query.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/pluggable.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/load.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/nav-menu.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/media-template.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/post-formats.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-editor.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/cron.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-http.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-customize-manager.php
200      GET       64l      184w     2551c http://192.168.173.50/wordpress/wp-login.php?redirect_to=http%3A%2F%2F192.168.173.50%2Fwordpress%2Fwp-admin%2F&reauth=1
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/post-thumbnail-template.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/wp-db.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/user.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-smtp.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/post-template.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/nav-menu-template.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/feed-atom-comments.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/meta.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-theme.php
