200      GET      207l     1079w    85923c http://192.168.161.78/so-simple.png
200      GET       77l       39w      495c http://192.168.161.78/
200      GET       77l       39w      495c http://192.168.161.78/index.html
200      GET      147l      646w    13420c http://192.168.161.78/wordpress/
200      GET      384l     3177w    19915c http://192.168.161.78/wordpress/license.txt
200      GET      391l      778w     6147c http://192.168.161.78/wordpress/wp-admin/css/install.css
200      GET       13l       78w     4373c http://192.168.161.78/wordpress/wp-admin/images/wordpress-logo.png
200      GET       87l      302w     5246c http://192.168.161.78/wordpress/wp-login.php
200      GET       17l       85w     1421c http://192.168.161.78/wordpress/wp-admin/install.php
200      GET       26l       93w     1526c http://192.168.161.78/wordpress/wp-admin/upgrade.php
200      GET       87l      302w     5246c http://192.168.161.78/wordpress/wp-login.php?redirect_to=http%3A%2F%2F192.168.161.78%2Fwordpress%2Fwp-admin%2F&reauth=1
200      GET       87l      302w     5256c http://192.168.161.78/wordpress/wp-login.php?redirect_to=http%3A%2F%2F192.168.161.78%2Fwordpress%2Fwp-admin%2Fimport.php&reauth=1
200      GET       87l      302w     5261c http://192.168.161.78/wordpress/wp-login.php?redirect_to=http%3A%2F%2F192.168.161.78%2Fwordpress%2Fwp-admin%2Fupdate-core.php&reauth=1
200      GET       97l      823w     7278c http://192.168.161.78/wordpress/readme.html
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-config.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-blog-header.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-content/
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-cron.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-settings.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-load.php
200      GET       11l       27w      240c http://192.168.161.78/wordpress/wp-links-opml.php
403      GET      121l      315w     2709c http://192.168.161.78/wordpress/wp-mail.php
200      GET        5l       15w      135c http://192.168.161.78/wordpress/wp-trackback.php
200      GET       89l      314w     5388c http://192.168.161.78/wordpress/wp-login.php?registration=disabled
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-recovery-mode.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/default-widgets.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/plugin.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/nav-menu-template.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class.wp-dependencies.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-simplepie-file.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/admin-bar.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/post-thumbnail-template.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/rss-functions.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/rss.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/capabilities.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-query.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-locale.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/cron.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/compat.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-walker.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-post-type.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/feed-atom.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/registration-functions.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-deprecated.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-customize-setting.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-customize-widgets.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/feed.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-network-query.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/error-protection.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-oembed.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/taxonomy.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-functions.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-object-cache.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/script-loader.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-response.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-tax-query.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-theme.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-error.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-feed.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/rewrite.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/kses.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-pop3.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/shortcodes.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-user-request.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/formatting.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/embed-template.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-smtp.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-customize-nav-menus.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-editor.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-simplepie-sanitize-kses.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-json.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class.wp-scripts.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-block-parser.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-taxonomy.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-requests-response.php
405      GET        1l        6w       42c http://192.168.161.78/wordpress/xmlrpc.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/category-template.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/bookmark.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-walker-page.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/bookmark-template.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-text-diff-renderer-inline.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/date.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-oembed.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-list-util.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-feed-cache-transient.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-dependency.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/atomlib.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/nav-menu.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-network.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-admin-bar.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/media-template.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-site.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-cookie.php
