200      GET      117l      518w     3771c http://192.168.168.148/.bashrc
200      GET       22l      109w      675c http://192.168.168.148/.profile
400      GET        0l        0w   434538c http://192.168.168.148:12380/_derived
400      GET        0l        0w   434538c http://192.168.168.148:12380/_derived~
400      GET        0l        0w   434538c http://192.168.168.148:12380/_derived.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/_derived.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/_derived.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/_derived.1
400      GET      935l     2457w   434538c http://192.168.168.148:12380/._derived.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.web
400      GET        0l        0w   434538c http://192.168.168.148:12380/.web~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.web.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.web.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.web.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.web.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..web.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.bashrc
400      GET        0l        0w   434538c http://192.168.168.148:12380/.bashrc~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.bashrc.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.bashrc.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.bashrc.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.bashrc.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..bashrc.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.sh_history
400      GET        0l        0w   434538c http://192.168.168.148:12380/.sh_history~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.sh_history.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.sh_history.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.sh_history.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.sh_history.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..sh_history.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.rhosts
400      GET        0l        0w   434538c http://192.168.168.148:12380/.rhosts~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.rhosts.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.rhosts.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.rhosts.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.rhosts.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..rhosts.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.mysql_history
400      GET        0l        0w   434538c http://192.168.168.148:12380/.mysql_history~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.mysql_history.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.mysql_history.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.mysql_history.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.mysql_history.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..mysql_history.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvsignore
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvsignore~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvsignore.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvsignore.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvsignore.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvsignore.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..cvsignore.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.forward
400      GET        0l        0w   434538c http://192.168.168.148:12380/.forward~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.forward.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.forward.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.forward.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.forward.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..forward.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.subversion
400      GET        0l        0w   434538c http://192.168.168.148:12380/.subversion~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.subversion.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.subversion.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.subversion.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.subversion.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..subversion.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvs
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvs~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvs.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvs.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvs.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.cvs.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..cvs.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.htaccess
400      GET        0l        0w   434538c http://192.168.168.148:12380/.htaccess~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.htaccess.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.htaccess.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.htaccess.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.htaccess.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..htaccess.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/.listing
400      GET        0l        0w   434538c http://192.168.168.148:12380/.listing~
400      GET        0l        0w   434538c http://192.168.168.148:12380/.listing.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/.listing.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/.listing.old
400      GET        0l        0w   434538c http://192.168.168.148:12380/.listing.1
400      GET        0l        0w   434538c http://192.168.168.148:12380/..listing.swp
400      GET        0l        0w   434538c http://192.168.168.148:12380/_archive
400      GET        0l        0w   434538c http://192.168.168.148:12380/_archive~
400      GET        0l        0w   434538c http://192.168.168.148:12380/_archive.bak
400      GET        0l        0w   434538c http://192.168.168.148:12380/_archive.bak2
400      GET        0l        0w   434538c http://192.168.168.148:12380/_archive.old
